,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
2935,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
2937,Man,45-49,Ukraine,Master’s degree,Machine Learning Engineer,Accounting/Finance,0-49 employees,Europa,data
2938,Man,35-39,Chile,Master’s degree,Statistician,Academics/Education,0-49 employees,América del Sur,other
2941,Man,22-24,China,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
2942,Man,22-24,India,Bachelor’s degree,Machine Learning Engineer,Online Service/Internet-based Services,0-49 employees,Asia,data
2950,Woman,30-34,India,Bachelor’s degree,Software Engineer,,,Asia,developer
2952,Man,30-34,India,Master’s degree,Business Analyst,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
2955,Man,50-54,Turkey,Doctoral degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",Asia,data
2956,Man,25-29,Singapore,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
2961,Man,25-29,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
2963,Woman,22-24,Czech Republic,Master’s degree,Machine Learning Engineer,Retail/Sales,"1000-9,999 employees",Europa,data
2964,Man,18-21,Pakistan,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
2965,Man,35-39,Colombia,Some college/university study without earning a bachelor’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",América del Sur,data
2966,Man,40-44,Mexico,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,América del Sur,developer
2967,Man,50-54,Netherlands,No formal education past high school,Software Engineer,Medical/Pharmaceutical,0-49 employees,Europa,developer
2968,Woman,40-44,Egypt,Professional doctorate,Data Analyst,Government/Public Service,0-49 employees,África,data
2969,Man,22-24,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
2971,Man,35-39,Portugal,Doctoral degree,Product Manager,Computers/Technology,"1000-9,999 employees",Europa,other
2972,Man,18-21,Russia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Europa,data
2975,Man,22-24,China,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,250-999 employees,Asia,developer
2976,Woman,30-34,India,Doctoral degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
2977,Man,25-29,Tunisia,Doctoral degree,Data Scientist,Online Service/Internet-based Services,0-49 employees,África,data
2979,Man,30-34,India,Master’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
2981,Man,22-24,India,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,50-249 employees,Asia,data
2983,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
2984,Man,22-24,Viet Nam,Bachelor’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
2985,Man,22-24,Nigeria,Bachelor’s degree,Data Scientist,Energy/Mining,0-49 employees,África,data
2986,Man,40-44,United States of America,Doctoral degree,Data Scientist,Computers/Technology,0-49 employees,América del Norte,data
2987,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
2989,Man,25-29,Germany,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Europa,data
2991,Man,30-34,Kazakhstan,Doctoral degree,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data
2993,Man,25-29,Italy,Master’s degree,Data Scientist,Other,250-999 employees,Europa,data
2994,Man,30-34,Russia,Bachelor’s degree,Research Scientist,Retail/Sales,50-249 employees,Europa,data
2996,Woman,25-29,India,I prefer not to answer,Data Analyst,Other,0-49 employees,Asia,data
3000,Man,22-24,Bangladesh,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
3002,Man,18-21,India,Bachelor’s degree,Data Analyst,,,Asia,data
3003,Man,25-29,United States of America,Doctoral degree,Research Scientist,Academics/Education,"10,000 or more employees",América del Norte,data
3004,Man,30-34,United States of America,Master’s degree,Statistician,Accounting/Finance,"10,000 or more employees",América del Norte,other
3005,Man,30-34,Switzerland,Master’s degree,Data Scientist,Other,"1000-9,999 employees",Europa,data
3007,Man,40-44,Belgium,Bachelor’s degree,Data Engineer,Academics/Education,"1000-9,999 employees",Europa,data
3013,Woman,22-24,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,"1000-9,999 employees",Asia,data
3014,Man,22-24,Mexico,Bachelor’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees",América del Sur,data
3016,Man,25-29,Turkey,I prefer not to answer,Data Scientist,Non-profit/Service,0-49 employees,Asia,data
3025,Man,22-24,Israel,Master’s degree,Data Scientist,Other,"10,000 or more employees",Asia,data
3026,Man,50-54,Switzerland,Master’s degree,Program/Project Manager,Other,50-249 employees,Europa,other
3028,Man,35-39,India,Master’s degree,Business Analyst,Energy/Mining,250-999 employees,Asia,data
3029,Man,30-34,Ukraine,Master’s degree,Software Engineer,Medical/Pharmaceutical,0-49 employees,Europa,developer
3031,Woman,25-29,United States of America,Master’s degree,Program/Project Manager,Broadcasting/Communications,"10,000 or more employees",América del Norte,other
3033,Man,30-34,India,Bachelor’s degree,Data Analyst,Other,50-249 employees,Asia,data
3034,Man,25-29,China,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
3037,Man,40-44,Czech Republic,Master’s degree,Machine Learning Engineer,Marketing/CRM,"1000-9,999 employees",Europa,data
3039,Man,35-39,Nigeria,Bachelor’s degree,Software Engineer,Academics/Education,250-999 employees,África,developer
3040,Man,30-34,India,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
3043,Man,25-29,United States of America,Master’s degree,Research Scientist,Computers/Technology,0-49 employees,América del Norte,data
3045,Man,40-44,Argentina,Master’s degree,DBA/Database Engineer,Government/Public Service,"1000-9,999 employees",América del Sur,data
3046,Man,22-24,United States of America,Bachelor’s degree,Data Engineer,Retail/Sales,"1000-9,999 employees",América del Norte,data
3048,Man,30-34,United States of America,Master’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",América del Norte,data
3049,Man,45-49,Pakistan,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
3050,Woman,18-21,Nigeria,Master’s degree,Data Scientist,Marketing/CRM,0-49 employees,África,data
3051,Woman,25-29,India,Professional doctorate,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
3052,Man,18-21,United States of America,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,América del Norte,data
3053,Man,25-29,Russia,I prefer not to answer,Software Engineer,Computers/Technology,0-49 employees,Europa,developer
3054,Man,30-34,Egypt,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,África,developer
3055,Man,40-44,India,Master’s degree,Data Engineer,Computers/Technology,"10,000 or more employees",Asia,data
3056,Man,30-34,Colombia,Master’s degree,Research Scientist,Government/Public Service,0-49 employees,América del Sur,data
3057,Man,18-21,India,Bachelor’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data
3059,Man,35-39,Germany,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Europa,data
3060,Man,22-24,India,Master’s degree,Data Engineer,Computers/Technology,50-249 employees,Asia,data
3062,Man,25-29,India,Bachelor’s degree,Data Engineer,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
3064,Man,40-44,India,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
3065,Man,45-49,Spain,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Europa,developer
3068,Man,22-24,India,Bachelor’s degree,Software Engineer,Online Business/Internet-based Sales,"1000-9,999 employees",Asia,developer
3069,Man,25-29,Turkey,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees,Asia,data
3070,Man,25-29,Italy,Doctoral degree,Data Scientist,Marketing/CRM,0-49 employees,Europa,data
3073,Man,45-49,Japan,Master’s degree,Machine Learning Engineer,,,Asia,data
3075,Man,25-29,Belarus,Master’s degree,Data Scientist,Accounting/Finance,250-999 employees,Europa,data
3076,Man,45-49,France,Doctoral degree,Data Scientist,Computers/Technology,250-999 employees,Europa,data
3077,Man,55-59,India,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
3078,Man,30-34,Hong Kong (S.A.R.),Master’s degree,Data Analyst,Marketing/CRM,"10,000 or more employees",Asia,data
3080,Woman,35-39,Taiwan,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data
3082,Man,55-59,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,50-249 employees,Europa,developer
3083,Man,50-54,Canada,Doctoral degree,Data Scientist,Accounting/Finance,250-999 employees,América del Norte,data
3086,Man,25-29,Russia,Master’s degree,Data Scientist,Academics/Education,250-999 employees,Europa,data
3089,Man,18-21,Nigeria,Master’s degree,Data Analyst,Marketing/CRM,0-49 employees,África,data
3091,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Manufacturing/Fabrication,50-249 employees,Europa,data
3092,Man,18-21,India,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data
3093,Woman,50-54,United States of America,Master’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,data
3094,Man,18-21,Pakistan,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
3095,Man,55-59,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,,,Europa,data
3096,Man,30-34,India,Master’s degree,Data Analyst,Computers/Technology,250-999 employees,Asia,data
3097,Man,60-69,United States of America,Bachelor’s degree,Data Analyst,Shipping/Transportation,0-49 employees,América del Norte,data
3098,Man,35-39,South Korea,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
3099,Man,60-69,United States of America,Doctoral degree,Data Scientist,Computers/Technology,"1000-9,999 employees",América del Norte,data
3108,Woman,22-24,South Korea,I prefer not to answer,Data Analyst,Military/Security/Defense,0-49 employees,Asia,data
3110,Man,30-34,Nigeria,Bachelor’s degree,Product Manager,Online Business/Internet-based Sales,0-49 employees,África,other
3111,Man,35-39,Japan,Master’s degree,Data Engineer,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data
3114,Man,22-24,Romania,Bachelor’s degree,Data Analyst,Broadcasting/Communications,"10,000 or more employees",Europa,data
3122,Woman,25-29,United States of America,Master’s degree,Data Analyst,Academics/Education,50-249 employees,América del Norte,data
3125,Man,35-39,United States of America,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees,América del Norte,data
3129,Woman,22-24,India,I prefer not to answer,Data Analyst,Other,"1000-9,999 employees",Asia,data
3130,Woman,18-21,India,I prefer not to answer,Data Scientist,,,Asia,data
3132,Man,25-29,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
3133,Man,45-49,Japan,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",Asia,developer
3134,Man,25-29,India,Bachelor’s degree,Data Analyst,Non-profit/Service,0-49 employees,Asia,data
3137,Man,25-29,India,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data
3138,Man,40-44,India,Master’s degree,Research Scientist,,,Asia,data
3139,Man,55-59,India,Bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other
3140,Man,25-29,Ireland,Master’s degree,Data Engineer,Shipping/Transportation,0-49 employees,Europa,data
3141,Woman,40-44,China,Master’s degree,Program/Project Manager,Computers/Technology,50-249 employees,Asia,other
3142,Man,40-44,Germany,Master’s degree,Program/Project Manager,Medical/Pharmaceutical,50-249 employees,Europa,other
3146,Woman,25-29,India,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
3150,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Data Scientist,Other,0-49 employees,Asia,data
3152,Man,25-29,Poland,I prefer not to answer,Data Scientist,Retail/Sales,250-999 employees,Europa,data
3159,Man,45-49,Italy,Some college/university study without earning a bachelor’s degree,Research Scientist,Computers/Technology,0-49 employees,Europa,data
3164,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
3165,Woman,22-24,United States of America,Bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,América del Norte,other
3167,Man,40-44,France,Master’s degree,Data Scientist,Energy/Mining,0-49 employees,Europa,data
3168,Man,25-29,Poland,Master’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Europa,data
3171,Man,40-44,Colombia,Doctoral degree,Data Scientist,Computers/Technology,"10,000 or more employees",América del Sur,data
3172,Man,22-24,India,Bachelor’s degree,Product Manager,Computers/Technology,0-49 employees,Asia,other
3173,Man,30-34,Ethiopia,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",África,data
3174,Man,45-49,South Korea,Doctoral degree,Data Engineer,Academics/Education,50-249 employees,Asia,data
3175,Man,18-21,Viet Nam,I prefer not to answer,Data Analyst,Academics/Education,50-249 employees,Asia,data
3178,Man,50-54,United States of America,Master’s degree,Product Manager,Academics/Education,"10,000 or more employees",América del Norte,other
